Time (h),Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 8,Cell 9,Cell 10,Cell 11,Cell 16,Cell 17,Cell 18,Cell 22,Cell 23,Cell 25,Cell 27,Cell 30,Cell 31,Cell 32,Cell 36,Cell 38,Cell 45,Cell 46,Background,Background,Background,Background
0,3203.635,3599.461,3664.849,3212.333,2749.192,2284.039,2781.12,2451.52,2490.291,2528.115,2409.75,2553.226,2191.385,2240.925,2082.904,2414.865,2471.784,3323.289,2171.83,3374.823,2148.365,2560.019,2110.537,1869.434,1982.519,2049.078,2193.692,1917.111
0.5,3067.412,3784.755,3966.673,3459.269,2760.569,2440.885,3120.431,2242.904,2925.1,2602.192,2449.596,2307.274,2185.585,2296.923,2030.308,2510.942,2712.34,2742.431,2074.02,3362.566,2306.211,2948.461,2250.189,1937.392,1948.962,1858.314,2023.404,1902.365
1,2987.769,3288.741,3420.25,3642.096,3064.365,2443.231,3252.873,2341.385,2864.519,2424,2350.461,2240.039,2330.385,2158.87,2123.846,2167.415,2771.539,2788.635,2054.231,3102.216,2176.531,3040.692,2283.096,1870.538,2014.615,1856.823,1976.308,1978.275
1.5,2856.849,3550.365,3987.961,3869.519,2923.547,2451.019,3773.423,2457.34,2953.941,2709.423,2203.481,2131.113,2672,2578.789,1916.25,2639.83,2579.673,2758.096,2104.961,3168.471,2204.075,3031.135,2183.731,1806.5,1876.327,1947.647,2099.942,1881.196
2,3114.769,3725.865,3947.827,3765.528,3192.755,2420.981,3867.52,2042.077,3070.327,2480.481,2398.698,2208.49,2138.115,2213.849,2062.54,2587.558,2496.154,2956.539,2211.673,2816.157,2190.922,3063.481,2130.759,2126.154,1814.654,1733.314,2041,1790.725
2.5,3070.308,3526.519,4510.961,4319.509,3059.808,2713.519,4048.784,2201.88,2903.333,2448.789,2352.654,2197.264,2292.373,2262.615,2091.211,2383.731,2803.208,3109.196,2206.923,2789.289,2104.827,3064.577,2352.423,1904.377,1953.942,1825.706,2036.712,1911.731
3,3004.539,3245.717,4348.627,3906.942,2850.865,2826.481,3569.51,2092.923,2957.385,2344.887,2614.961,2358.189,2159.736,2063.463,2302.235,2406.058,2707.528,3180.077,1929.673,2798.923,2227.423,2782.327,2436.077,1937.596,1828.808,1728.314,1954.75,1758.038
3.5,3036.961,3377.885,4908.154,3545.373,3199.461,2779.51,3235.461,2188.078,2854.058,2507.943,2470.863,2070.981,2265.019,2269.365,2025.296,2649.846,2620.404,3109.679,1776.863,2883.115,2263.442,2889.569,2366.947,1905.327,1727.333,1683.98,1950.654,1701.115
4,3281.423,3059.396,5177.346,3397.077,3069.019,2732.923,3796.51,2341.808,3081.039,2310.673,2512.66,2352.736,2466.423,2300.373,1913.962,2513.827,2963.056,2848.925,1660.725,2734.127,2226.423,2740.385,2443.528,1828.415,1760.981,1594.922,2014.115,1639.558
4.5,3122.327,2908.269,5148.519,3442.789,2653.885,2408.426,4343.176,2248.904,3259.078,2319.981,2394.08,2288.786,2398.442,2153.928,2218.741,2720.577,2862.078,3001.235,1827.577,2556.865,2403.115,2776.25,2395.673,2235.039,1752.796,1696,1943.135,1665.923
5,3222.245,2782.077,4959.942,3598.528,2701.061,2485.461,5122.673,2294.211,3501.274,2318.904,2234.278,2416.125,2494.4,2157.058,2168.442,2493.519,2916,3052.961,1695.385,2478.804,2412.547,2915.961,2546.333,2030.353,1656.778,1634.588,1762.173,1787.811
5.5,3225.736,2919.789,5142.231,3323.327,2707.585,2132.539,4595.547,2462.547,3517.094,2326.769,1897.151,2770.518,2280.423,2204.075,2151.943,2704.208,3019.726,3222.294,2054.471,2332.132,2491.778,2584.321,2411.396,2099.98,1819.778,1715.823,2021.549,1688.558
6,3236.889,2810.132,5319.096,3917.423,2372.882,2390.132,4308.528,2359.481,3546.434,2213.808,2224.02,2266.732,2014.352,2203.961,2260.137,2395.558,2742.885,2812.442,1723.769,2141.942,2385,2714.49,2719.654,1902.673,1773.667,1812.667,1840.745,1819.731
6.5,3371.692,2659.865,6003.706,3689.5,2696.726,2093.192,4376.077,2542.981,3159.615,2452.28,2023.712,2371.714,2100.373,2730.056,2150.585,2507.981,3034.962,2799.942,1894.385,2367.923,2306.308,2585.058,2713.423,1955,1597.259,1580.353,2051.667,1585.057
