Time (h),Cell 1,Background,Background,Background,Background
0,1914.059,2007.698,2018.611,2058.365,2040.196
0.5,1952.058,1938.269,1942.667,1982.788,1968.269
1,1957.885,1928.154,1939.549,1968.712,1944.788
1.5,1971.558,1912.25,1922.216,1936.769,1936.308
2,1953.385,1908.692,1919.961,1941.731,1911.135
2.5,1983.327,1896.692,1909.765,1925.75,1919.923
3,1971.654,1911.096,1923.431,1952.577,1935.038
3.5,1998.673,1880.865,1908.569,1935.346,1918.462
4,1970.385,1878.058,1907.333,1927.846,1922.846
4.5,1996.731,1895.558,1914.078,1937.577,1913.231
5,1974.132,1886.75,1898.647,1923.75,1910.481
5.5,2015.623,1900.308,1912.02,1932.942,1925.981
6,2012.769,1889,1903.039,1913.846,1904.942
6.5,1998.808,1886.635,1905.059,1927.423,1899.962
7,1996.173,1886.019,1904.235,1934.404,1919.077
7.5,2003.269,1890.25,1904.235,1927.692,1915.962
8,1991.283,1886.058,1906.647,1934.077,1908.038
8.5,1964.038,1882.385,1905.196,1915.269,1910.423
9,2007.923,1904.077,1893.275,1925.519,1910.846
9.5,2000.706,1893,1885.667,1946.346,1908.327
10,2021.359,1881.385,1913.823,1926.212,1906.308
10.5,2003.192,1890.712,1904.28,1918.058,1910.154
11,1965.059,1879.846,1890.717,1928.769,1911.788
11.5,2007.731,1895.038,1903.415,1925.346,1900.25
12,2011.365,1892.192,1909.547,1927.712,1902.519
12.5,2011.549,1890.038,1891.189,1924.269,1923.192
13,2029.863,1891.885,1909.962,1923.588,1902.038
13.5,2029.788,1884.846,1911.17,1917.255,1910.865
14,2042.882,1883.904,1901.547,1917.745,1906.923
14.5,2033.654,1885.365,1898.755,1925.647,1911.404
15,2053.9,1886.058,1902.641,1928.118,1910.558
15.5,2052,1878.962,1900.132,1920.392,1906.923
16,2049.255,1888.269,1909,1913.745,1903.885
16.5,2012.673,1887.019,1896.717,1922.863,1906.712
17,2003.635,1886.673,1905.057,1919.196,1908.673
17.5,1975.107,1892.135,1896.717,1930.196,1923.231
18,1980.981,1881.192,1900.264,1907.823,1908.75
18.5,2012.275,1883.962,1915.755,1914.804,1911
19,1966.904,1892.173,1896.057,1922.294,1917.769
19.5,1968.5,1887.942,1901.792,1893.549,1909.808
20,1971.804,1885.904,1890.868,1903.115,1912.673
20.5,1967.962,1873.769,1891.547,1913.346,1911.115
21,1969.641,1889.442,1911.264,1916.865,1915.192
21.5,1968.925,1900.519,1917.226,1922.404,1916.365
22,1972.865,1883.115,1897,1925.154,1914.308
22.5,1982.608,1889.673,1894.925,1918.385,1919.462
23,1959.404,1887.942,1905.868,1914.635,1921.173
23.5,1956.365,1884.596,1907.377,1929.327,1909.423
