Time (h),Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Background,Background,Background,Background
0,12640.393,4969.311,4196.429,5340.179,10828.241,21029.5,12669.8,1547.933,1294.724,1273.467,1383.464
0.5,6791.689,4679.552,2666.379,5126.759,16462.666,13458.333,11076.634,1556.406,1487.448,1465.1,1372.321
1,12830.793,2952.067,2413.828,3386.893,13789.844,10129.104,11395.533,1537.625,1477,1547.143,1368.75
1.5,6930.929,3558.3,2346.069,2188.552,10919.655,12796.464,9507.034,1643.586,1117.071,1328.379,1167.071
2,6445.438,5525.433,2377.467,2401.862,8391.5,12424.634,11284.241,1455.517,1418.786,1332.833,1285.036
2.5,7782.379,4393.133,4284.069,3182.322,9047.5,13800.733,11613.311,1602.207,1180.536,1342.1,1238
3,9769.311,5332,3478.3,3726.178,8402.345,11714.964,10469.207,1406.207,1301.286,1380.533,1187.643
3.5,7134.035,3864.104,4804.896,4713.793,8562.967,8182.536,9664.655,1678.517,1246.571,1480.233,1225.643
4,8821.607,4162.857,5113.345,4517.655,8760.173,6501.724,9319.034,1192.931,1353,1259.133,1410.429
4.5,6448.828,5983.311,5267.621,3534.25,6830.311,6263.311,8151.3,1336.552,1199.357,1353.167,1244.536
5,8867.357,6627.896,5935.207,3463.533,6304.323,6805.517,8061.667,1457.897,1110,1381.267,1363.893
5.5,10263.725,6990.138,4874.533,3817.844,7993.267,5695.552,6974.483,1317.31,1088.786,1458.3,1254.036
6,7610.643,6134.311,5481.607,5951.812,7370.586,4412.793,5916.379,1489.862,1120.567,1367.033,1192.75
6.5,6495.867,7462.929,5196.3,5493.9,7193.379,5268.633,6361.267,1408.586,1211.933,1241.067,1287.75
7,8291.275,6656.138,6126.533,4523.567,9114.275,6567.379,6973.069,1410.241,1331.133,1368.933,1236.607
7.5,12266.862,5459.586,7756.233,4560.214,10767.533,6783.344,7574.345,1588,1128.3,1206.567,1204.393
8,9331.634,7128.5,6856.774,4334.179,12405.434,8019.931,5492.621,1450.233,1483.467,1236.533,1122.179
8.5,8856,8454.964,4858.035,4516.167,13401.967,11420.25,5596.964,1513.7,1062.3,1283.1,1115.393
9,7549.586,10067.934,4442,3797.276,11944.241,10108.862,5337.967,1475.033,1216.345,1312.467,1211.143
9.5,8673.241,8973.281,5150.9,4202.6,9765.207,11915.379,5777.067,1392.533,1326.448,1357.821,1337.321
10,6207.483,9584.429,6016.267,4180.965,11271.966,12433.138,6029.931,1330.8,1169.069,1298.552,1219.679
10.5,6290.967,10337.931,5806.833,4477.931,14694.725,9758.931,6163.724,1571.833,1094.781,1191.034,1299.929
11,5512.241,7527.104,4619.586,5181.965,13041.689,12032.281,6265.607,1364.467,1315.533,1224.69,1534.179
11.5,6389.207,9262.725,9287.689,5460.633,11582.312,11790.759,8559.518,1401.9,1104.767,1370.414,1188.607
12,7337.689,10383.679,8987.793,5388.833,10925.7,12103.967,7453.311,1341.433,1247.862,1295.448,1291.071
12.5,8522,12559.406,9076.517,4677.355,12283.9,18116.068,7620.857,1549.133,1176.867,1440.633,1246.321
13,7241.567,7938.483,9825.134,5533.357,11829.129,18239.166,8061.3,1427.8,1078.966,1359.633,1286.429
13.5,7820.4,11505.6,15406.414,4432.536,13328.062,20827.035,7163,1354.467,1282.276,1068.667,1229.5
14,7309.862,17301.566,18296.9,4898,14089.366,24552.689,5884.241,1413.7,1290.172,1335.448,1157.821
14.5,7926.759,20372.965,17918.932,5396.276,14393.034,21128.301,6192.483,1381.733,1079.607,1236.138,1148.607
15,9245.929,20766.725,24263.215,5224.291,14028.414,21997.566,7927.867,1341.833,1401.207,1327.276,1229.714
15.5,12148.607,14073.966,15686.552,6108.655,14174.6,15878.793,7278.438,1624.833,1159.276,1182.6,1419.75
16,15666.138,13018.333,11638.966,6084.25,15732.833,16454.166,6382.607,1449.9,1451.517,1286.688,1375.464
16.5,15064.214,11987.167,13618.964,7171.621,15748.4,17881.896,8201.562,1502.8,1181.214,1286.607,1166.5
17,18411.934,11860.621,9868.3,7762.25,16478.301,14838.906,4984.867,1410.633,1377.857,1203.857,1247.286
17.5,16212.767,11983.896,7565.241,7059.833,17070.828,16785.242,4700.483,1402.4,1263.103,1311.393,1224.786
18,15405.207,9604.321,6598.4,7022.233,19048.232,19057,6550.793,1430.667,1168.621,1190.857,1322.321
18.5,25621.732,7609.138,6860.586,6368.9,18443.551,17832.199,7214.767,1301.667,1193.207,1247.793,1159.75
19,20255.414,8907.069,8856.345,8515.786,16072.621,20481.518,9045.934,1512.333,1233.414,1352.379,1208.571
19.5,16540.311,11846.467,11315.767,3615.214,22908.172,13640.483,8489.275,1420.3,1218.276,1397.862,1145.429
20,11981.621,13690.938,11756.4,3918.4,28608.449,14755.966,8971.536,1397.9,1220.276,1297.828,1369.286
20.5,13848.138,17749.643,10139.207,4664.6,25577.551,11710.969,8468.586,1467.967,1210.138,1337.897,1222.321
21,14844.793,14708.586,9981.5,5754.733,28334.932,9316.827,6749.345,1501.433,1159,1498.69,1273.786
21.5,15269.036,14546.448,10602.966,4651.133,25614.934,9204.379,4682.633,1427.567,1219.483,1329.931,1315.679
22,13769.469,12547.219,9711.5,4369.069,22900.906,7658.067,5261.345,1458,1286.621,1133.862,1239.393
22.5,14118.2,13136.571,8717.241,4472.069,23337.312,6948.533,6613.4,1386.7,1438.893,1086.655,1324.036
23,15931.586,12386.767,8937.448,4729.25,16921.896,6865.655,6840.552,1461.033,1283.821,1355.414,1127.071
23.5,13218,14403.29,9623.571,4475.759,17169.793,7840.517,10109.893,1494.933,1211.448,1403.759,1312.036
24,11343.345,11353,9929.267,4606.567,14688.207,8637.241,8755.379,1373.2,1220.379,1334.69,1197.714
24.5,11105.759,10320.5,8585.536,4356.774,15154.8,9474.552,8173.448,1427.833,1085.938,1311.69,1107.286
25,7624.689,9749.586,8777.167,4098.812,20617.709,7730.896,9407.036,1458.867,1249.906,1262.276,1179.214
25.5,7549.321,11762.689,8759.1,5270.793,10009.518,7476.655,6839.759,1368.967,1397.625,1410.724,1221.143
26,8780.033,14343.967,9353.345,4792.433,9590,8103.241,7641.379,1409.033,1371.875,1276.793,1362.393
26.5,7414.828,12016.414,9057.286,5160.655,11553.207,5058.241,6315.643,1345.4,1195,1368.621,1369.143
27,9885.033,10375.467,8418.793,4280.896,13510.7,5650.311,4390.067,1572.8,1304.438,1080.276,1312.321
27.5,8850.896,12582.345,7906.643,5092.467,14013.034,6893.312,5173.607,1565.767,1329.312,1169.586,1266.75
28,7660.207,11412.75,11191.621,6081.069,13159.862,9324.719,5532.379,1623.367,1144.781,1303.207,1199.821
28.5,7270.607,8602.429,5569.965,5769.033,11879.655,8009.414,6062.688,1456.633,1370.156,1464.759,1280.714
29,5523.2,7956.767,3522.31,5718.75,12598.934,7478.6,6666.345,1289.967,1112.688,1202.966,1253.607
29.5,5248.483,8042.393,4219.571,4838.207,11796.966,6088.689,8424.827,1865.067,1290.312,1479.759,1278.357
30,5245.311,9462.518,4683.448,5003.448,11240.8,5701.9,6756.4,1480.567,1512.938,1256.31,1371.071
30.5,5589.179,8186.533,4671.448,4975.833,12827.689,5253.633,9200.689,1430.333,1223.5,1215.759,1337.536
31,5203.867,8932.4,6158.2,4644.267,11478.518,7835.367,7191.3,1354.3,1358.625,1313.345,1203.25
31.5,4752.333,9523.034,9901.333,4176.107,11391.207,7895.896,7895.467,1511.5,1347.25,1303.621,1349.321
