Time (h),Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12,Background,Background,Background,Background
0,2327.714,2453.885,2234.917,2260.25,2198.308,2493.792,2324.75,2249.25,2240.385,2203.889,2576.039,2537.37,2133.385,2158.333,2152.28,2124.393
0.5,2259.231,2409.167,2207.731,2203.72,2174.857,2361.333,2441.731,2234.077,2320.154,2247,2600.231,2517.923,2126.32,2146.083,2146.92,2119.678
1,2270.667,2362.5,2181.692,2219.958,2205.615,2251.583,2389.769,2254.8,2264.461,2275.154,2586.885,2567.461,2120.36,2153.083,2144.64,2128.286
1.5,2310.822,2267,2199.846,2236.269,2209.154,2237,2261.444,2288.04,2282,2250.68,2720.428,2430.385,2125.68,2144.926,2148.92,2122.643
2,2294.178,2228.269,2227.667,2242.2,2199.208,2364,2295.643,2303.143,2272.704,2253.778,2538.56,2407.958,2113.16,2128.815,2131.72,2108.036
2.5,2233.346,2209.24,2244.556,2256.148,2166.539,2515.833,2264.125,2350.2,2316.36,2283.037,2295.269,2375.259,2118.32,2149.593,2130,2123.214
3,2197.893,2195.519,2211.37,2246.667,2174.885,2515.25,2296.481,2300.444,2260.885,2266.6,2335.333,2290.115,2097.96,2121.667,2132.731,2112.036
3.5,2208.643,2246,2178.37,2215.852,2191.923,2365.5,2298.654,2261.039,2252.231,2200.889,2214.625,2269.963,2111.28,2133.667,2145.961,2119.857
4,2202.231,2314.923,2196.074,2215.889,2193.577,2337.333,2282.593,2220.115,2258.154,2181,2204.667,2319.792,2113.28,2145.84,2148.539,2118.75
4.5,2195.5,2252.25,2186.63,2208.481,2189.539,2303.846,2284.542,2228.115,2216,2160.074,2219.385,2276.542,2107.96,2141.75,2133.5,2103.5
5,2180,2278.12,2238.074,2212.333,2193.346,2330.393,2289.423,2231.461,2196.708,2184.923,2250.792,2236.769,2101.28,2140.357,2140.039,2112.822
5.5,2173.5,2282.5,2250.519,2242.917,2201.964,2300.5,2258.769,2233.964,2213.2,2192.5,2251.808,2219.208,2114.16,2129.857,2129.192,2117.393
6,2189.115,2284.393,2256.125,2223.583,2232,2257.292,2245.214,2245.24,2224,2181.2,2223.741,2217.125,2108.24,2127.143,2137.269,2103.822
6.5,2235.115,2280.704,2242.111,2185.63,2284.125,2248.375,2247.214,2216.346,2267.56,2186.75,2217.75,2189.115,2103.72,2142.072,2137.077,2106.822
7,2256.808,2276.423,2205.148,2214.039,2251.708,2251.542,2217.577,2259.822,2253.958,2212.731,2231.192,2233.704,2106.6,2139.481,2125.385,2108.072
7.5,2223.833,2292.961,2170.148,2220.961,2243.714,2285.292,2222.8,2248.769,2236.556,2248.84,2278.167,2220,2114.04,2141.63,2139.885,2106.643
8,2211.792,2268.63,2130.417,2253.036,2283.214,2306.542,2216.37,2275.815,2252.808,2223.741,2259.926,2212.68,2102.04,2139.259,2118.077,2101.107
8.5,2219.25,2278.231,2150.125,2281.808,2323,2342.654,2229.577,2315.76,2243.958,2223.917,2252.185,2274.577,2105.48,2129.519,2138.539,2107.572
9,2238.25,2267.577,2164.32,2304.769,2320.481,2406.822,2266.542,2303.322,2246.808,2248.423,2292.692,2257.556,2112.4,2144.852,2127,2100.178
9.5,2224.833,2298.042,2179,2325.407,2317.077,2376.125,2279.333,2319.833,2234.64,2210.692,2309.111,2217.63,2111.36,2140.148,2133.885,2105.714
10,2245.815,2372.208,2214.407,2302.822,2283,2349,2271.269,2319.808,2242.322,2192.577,2339.963,2222,2088.08,2115.481,2117.885,2097.75
10.5,2251.792,2434,2189.917,2322.036,2262.444,2342.792,2262.385,2267,2292.741,2211.928,2293.704,2256.615,2101.52,2120.889,2124.039,2092.607
11,2246.607,2427.75,2187.143,2318.28,2264,2333.846,2267.667,2208.143,2263.885,2190.178,2315.192,2217.958,2106.16,2131.037,2124.192,2095.393
11.5,2233.25,2375.042,2195.885,2355.643,2248.385,2300.464,2232.185,2166.185,2269.643,2240,2294.393,2194.875,2110.16,2135.556,2126.692,2100.214
12,2241.607,2407.125,2197.961,2367.481,2280.704,2297.208,2235.928,2199.148,2245.625,2211.778,2291.083,2226.231,2104.346,2118.815,2134.269,2094.322
12.5,2275.178,2497.125,2175.539,2364.875,2290.308,2274.708,2258.769,2209.63,2212.704,2195.84,2279.885,2230.222,2094.461,2126.852,2121.615,2103.643
13,2271.692,2503.292,2155.75,2326,2263.5,2307,2236.039,2230.13,2252.833,2196.625,2242.5,2203.815,2102.769,2116.481,2113.923,2092.072
13.5,2293.5,2456.042,2148.778,2330.963,2267.178,2313.792,2235.407,2214.615,2263.042,2190.296,2210.154,2217.077,2094.115,2128.593,2106.039,2097.107
14,2316.822,2386.75,2154.269,2337.607,2283.964,2271.519,2249.852,2242.667,2232.423,2205.428,2215.178,2226.391,2092.885,2114.815,2129.077,2106.286
14.5,2328.572,2409.417,2145.923,2330.56,2278.346,2277.5,2262.885,2261.957,2234.192,2191.708,2223,2251.539,2094.731,2111.407,2115.923,2092.178
15,2269.583,2379.042,2133.178,2375.615,2273.917,2255.769,2272.667,2266.214,2265.808,2170.741,2252.407,2216.039,2103.231,2130.074,2120.25,2093.607
15.5,2257.375,2388.961,2141.107,2363.714,2288.731,2272,2266.178,2291.542,2243.407,2192.964,2251.56,2215.593,2108.923,2133.926,2125.786,2090.286
16,2302.692,2400.923,2133.154,2361.2,2254.167,2315.115,2217.917,2251.667,2222.815,2196.75,2230.577,2195.926,2101.308,2136.926,2126.464,2093
16.5,2252.12,2396.654,2135.692,2389.92,2278.692,2308.393,2175.714,2252.423,2249.5,2223.458,2212.692,2172.259,2107.808,2139.519,2115.822,2099.428
